,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
80,QuantNaryTreeLearner_Teacher_Filter,PDFA - 1984b8eb44274d4e896307fe4f8cb1e9,47,34,1,5.6240530000000035,2742,6,2,3,0.994,0.19
81,QuantNaryTreeLearner_Teacher_Filter,PDFA - 24aed2cf568f496c8bf0ae941b0fbd8d,55,40,1,10.15918940000006,4854,9,3,4,0.999,0.232
82,QuantNaryTreeLearner_Teacher_Filter,PDFA - 10c736652a7e4488ade1a26934da8053,46,34,1,16.58109669999999,6255,10,2,4,1.0,0.292
83,QuantNaryTreeLearner_Teacher_Filter,PDFA - 97b81dad076a48148047cafaae625c8f,53,27,1,5.525538999999981,3747,3,2,2,1.0,0.119
84,QuantNaryTreeLearner_Teacher_Filter,PDFA - 9a50034497e1486187fbbad2285a3eb2,54,32,1,3.5923095999999077,2853,4,2,2,1.0,0.096
85,QuantNaryTreeLearner_Teacher_Filter,PDFA - 77e10475542b4d179560ac13d4374a5e,48,43,1,11.728437900000017,4854,9,2,3,1.0,0.282
86,QuantNaryTreeLearner_Teacher_Filter,PDFA - 79563f1ca6ae40ab8f7dea30f7718cce,53,35,1,6.6355464999999185,3564,5,2,2,0.996,0.179
87,QuantNaryTreeLearner_Teacher_Filter,PDFA - e52ca96dd2bd44d6b6f88828bf8b5ef1,52,47,1,24.916901999999936,13032,15,4,5,1.0,0.212
88,QuantNaryTreeLearner_Teacher_Filter,PDFA - a1244b5a2e7c48ec91a9f89d800afa41,55,40,1,10.617381900000055,4992,9,3,4,1.0,0.22
89,QuantNaryTreeLearner_Teacher_Filter,PDFA - df4321421cbe480bad3690b6f6d70032,45,23,1,7.142922300000009,3693,4,2,2,1.0,0.179
90,QuantNaryTreeLearner_Teacher_Filter,PDFA - d23cbca6133c4665b35ed37f394ec9db,6,7,1,9.626270099999829,2529,2,1,1,1.0,0.43
91,QuantNaryTreeLearner_Teacher_Filter,PDFA - 08f784909e8c4ebeb9848c2024b14833,3,3,1,2.633992299999818,2505,2,1,1,1.0,0.089
92,QuantNaryTreeLearner_Teacher_Filter,PDFA - 4c7bdf7078d344f9b63fb3c852645f6a,6,4,1,3.3320867999998427,2532,3,2,2,1.0,0.11
93,QuantNaryTreeLearner_Teacher_Filter,PDFA - 71970d27051149f5bb0e95eba83d3cb3,7,8,1,6.429525100000092,2535,2,1,1,1.0,0.242
94,QuantNaryTreeLearner_Teacher_Filter,PDFA - 92fb080238dc43939d2df1b444edec5b,1,2,1,2.837231299999985,2502,2,1,1,1.0,0.089
95,QuantNaryTreeLearner_Teacher_Filter,PDFA - 2ec45e2c6be44114a1918fbb20614210,6,5,1,3.7978422000001046,2517,2,1,1,1.0,0.153
96,QuantNaryTreeLearner_Teacher_Filter,PDFA - 6ba0aa6114194f42a2cf44254c8231a0,1,1,1,19.669579099999964,2649,1,0,0,1.0,1.0
97,QuantNaryTreeLearner_Teacher_Filter,PDFA - ad667c1e6e804ca98e6499024cb4b418,5,3,1,3.8490725000001476,2505,2,1,1,1.0,0.126
98,QuantNaryTreeLearner_Teacher_Filter,PDFA - f33d757e29394600a07324f019d71135,1,1,1,20.70685720000006,2649,1,0,0,1.0,1.0
99,QuantNaryTreeLearner_Teacher_Filter,PDFA - bce0b920376e466ea80c19a239c80c99,2,2,1,2.7473170999999184,2502,2,1,1,1.0,0.089
